en_url;nl_url
https://korver.ai/en/;https://korver.ai/nl/
https://korver.ai/en/contact;https://korver.ai/nl/contact
https://korver.ai/en/projects;https://korver.ai/nl/projecten
https://korver.ai/en/capabilities;https://korver.ai/nl/vaardigheden
https://korver.ai/en/about;https://korver.ai/nl/over-ons
https://korver.ai/en/services;https://korver.ai/nl/diensten
https://korver.ai/en/projects/end-to-end-inoculation/;https://korver.ai/nl/projecten/end-to-end-inoculatie/
https://korver.ai/en/projects/emotion-detection/;https://korver.ai/nl/projecten/emotie-detectie/
https://korver.ai/en/projects/chip-industry/;https://korver.ai/nl/projecten/chip-industrie/
https://korver.ai/en/projects/racectrl/;https://korver.ai/nl/projecten/racectrl/
https://korver.ai/en/projects/hospital-readmissions/;https://korver.ai/nl/projecten/ziekenhuisheropnames/
https://korver.ai/en/projects/sustainable-travel/;https://korver.ai/nl/projecten/duurzaam-reizen/
